periodo,valor
2011-01-01,9939136
2011-02-01,10412839
2011-03-01,11617733
2011-04-01,10556834
2011-05-01,11610943
2011-06-01,10889341
2011-07-01,11200417
2011-08-01,12327129
2011-09-01,11779626
2011-10-01,11733842
2011-11-01,11400883
2011-12-01,12699496
2012-01-01,10856228
2012-02-01,11036302
2012-03-01,11644122
2012-04-01,10463017
2012-05-01,11575305
2012-06-01,11085433
2012-07-01,11193306
2012-08-01,12155283
2012-09-01,11664331
2012-10-01,12455682
2012-11-01,11943062
2012-12-01,12508440
2013-01-01,11089068
2013-02-01,11293626
2013-03-01,11365510
2013-04-01,12444683
2013-05-01,12438537
2013-06-01,11793653
2013-07-01,12719495
2013-08-01,13271147
2013-09-01,12975914
2013-10-01,13548928
2013-11-01,12990948
2013-12-01,13763172
2014-01-01,11004939
2014-02-01,12101453
2014-03-01,12141808
2014-04-01,12189994
2014-05-01,13301809
2014-06-01,12029612
2014-07-01,13596987
2014-08-01,13656347
2014-09-01,13876280
2014-10-01,14458862
2014-11-01,13573843
2014-12-01,14515230
2015-01-01,12680744
2015-02-01,13274427
2015-03-01,14252048
2015-04-01,13848320
2015-05-01,14201302
2015-06-01,13705567
2015-07-01,14898532
2015-08-01,14873141
2015-09-01,15259578
2015-10-01,15367531
2015-11-01,14881312
2015-12-01,15551802
2016-01-01,13219958
2016-02-01,14322955
2016-03-01,14118124
2016-04-01,14053004
2016-05-01,14727180
2016-06-01,14478151
2016-07-01,14333243
2016-08-01,15599692
2016-09-01,15426388
2016-10-01,15215438
2016-11-01,15194187
2016-12-01,15993181
2017-01-01,13569290
2017-02-01,14024137
2017-03-01,15612156
2017-04-01,13629656
2017-05-01,15019385
2017-06-01,14026337
2017-07-01,14278459
2017-08-01,15590911
2017-09-01,15403265
2017-10-01,15567420
2017-11-01,14791658
2017-12-01,15265404
2018-01-01,13502214
2018-02-01,13676859
2018-03-01,14136660
2018-04-01,14721662
2018-05-01,14200846
2018-06-01,13422736
2018-07-01,13995720
2018-08-01,15313256
2018-09-01,14099240
2018-10-01,14042117
2018-11-01,13431128
2018-12-01,14210329
2019-01-01,12535604
2019-02-01,12778251
2019-03-01,13932274
2019-04-01,12871922
2019-05-01,13980101
2019-06-01,12881074
2019-07-01,14007725
2019-08-01,14460344
2019-09-01,14121137
