periodo,valor
2011-01-01,1706614
2011-02-01,1819092
2011-03-01,2025996
2011-04-01,1838067
2011-05-01,2037374
2011-06-01,1901605
2011-07-01,1953089
2011-08-01,2159626
2011-09-01,2058446
2011-10-01,2066289
2011-11-01,1970083
2011-12-01,2044723
2012-01-01,1845668
2012-02-01,1965248
2012-03-01,2074265
2012-04-01,1855716
2012-05-01,2064861
2012-06-01,1896190
2012-07-01,1973758
2012-08-01,2148709
2012-09-01,2057264
2012-10-01,2183514
2012-11-01,2064561
2012-12-01,2046501
2013-01-01,1868187
2013-02-01,1941982
2013-03-01,1968200
2013-04-01,2125663
2013-05-01,2148391
2013-06-01,1990734
2013-07-01,2152293
2013-08-01,2290711
2013-09-01,2211821
2013-10-01,2301295
2013-11-01,2208810
2013-12-01,2203075
2014-01-01,1933935
2014-02-01,2118215
2014-03-01,2264728
2014-04-01,2136594
2014-05-01,2308809
2014-06-01,2026689
2014-07-01,2297422
2014-08-01,2367297
2014-09-01,2362408
2014-10-01,2457612
2014-11-01,2306473
2014-12-01,2322375
2015-01-01,2099776
2015-02-01,2270327
2015-03-01,2441014
2015-04-01,2379834
2015-05-01,2435841
2015-06-01,2263646
2015-07-01,2522206
2015-08-01,2558939
2015-09-01,2563185
2015-10-01,2588079
2015-11-01,2469658
2015-12-01,2456015
2016-01-01,2175365
2016-02-01,2471380
2016-03-01,2439102
2016-04-01,2443754
2016-05-01,2556056
2016-06-01,2490730
2016-07-01,2479336
2016-08-01,2734621
2016-09-01,2651233
2016-10-01,2624743
2016-11-01,2595602
2016-12-01,2535013
2017-01-01,2318271
2017-02-01,2471705
2017-03-01,2789789
2017-04-01,2438616
2017-05-01,2691378
2017-06-01,2473849
2017-07-01,2593310
2017-08-01,2822260
2017-09-01,2769498
2017-10-01,2794918
2017-11-01,2703267
2017-12-01,2474290
2018-01-01,2169943
2018-02-01,2328886
2018-03-01,2357619
2018-04-01,2471310
2018-05-01,2262275
2018-06-01,2026020
2018-07-01,2099949
2018-08-01,2363588
2018-09-01,2249250
2018-10-01,2340270
2018-11-01,2208532
2018-12-01,2150654
2019-01-01,1998443
2019-02-01,2172629
2019-03-01,2349728
2019-04-01,2141433
2019-05-01,2313919
2019-06-01,2042896
2019-07-01,2268596
2019-08-01,2447948
2019-09-01,2333621
