periodo,valor
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,0
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,0
2016-12-01,19264
2017-01-01,46440
2017-02-01,48114
2017-03-01,55608
2017-04-01,50716
2017-05-01,55940
2017-06-01,54393
2017-07-01,0
2017-08-01,60882
2017-09-01,60699
2017-10-01,61217
2017-11-01,59289
2017-12-01,63793
2018-01-01,47162
2018-02-01,55351
2018-03-01,60052
2018-04-01,60478
2018-05-01,60034
2018-06-01,58419
2018-07-01,51194
2018-08-01,63135
2018-09-01,62611
2018-10-01,65527
2018-11-01,60908
2018-12-01,65529
2019-01-01,60569
2019-02-01,60464
2019-03-01,66372
2019-04-01,61057
2019-05-01,67131
2019-06-01,57404
2019-07-01,67202
2019-08-01,68677
2019-09-01,67926
