periodo,valor
2011-01-01,227784
2011-02-01,220832
2011-03-01,241408
2011-04-01,156812
2011-05-01,240581
2011-06-01,239021
2011-07-01,252894
2011-08-01,260463
2011-09-01,257191
2011-10-01,267591
2011-11-01,249783
2011-12-01,281159
2012-01-01,258750
2012-02-01,263135
2012-03-01,262493
2012-04-01,189889
2012-05-01,185870
2012-06-01,263926
2012-07-01,276841
2012-08-01,286231
2012-09-01,285202
2012-10-01,297366
2012-11-01,285364
2012-12-01,314662
2013-01-01,282826
2013-02-01,278007
2013-03-01,218378
2013-04-01,301541
2013-05-01,312079
2013-06-01,307580
2013-07-01,326313
2013-08-01,343323
2013-09-01,340583
2013-10-01,359663
2013-11-01,347354
2013-12-01,381337
2014-01-01,345444
2014-02-01,341398
2014-03-01,378298
2014-04-01,353396
2014-05-01,375397
2014-06-01,317707
2014-07-01,386238
2014-08-01,370080
2014-09-01,371036
2014-10-01,383101
2014-11-01,364854
2014-12-01,398255
2015-01-01,364924
2015-02-01,357187
2015-03-01,386881
2015-04-01,371154
2015-05-01,394017
2015-06-01,388261
2015-07-01,190039
2015-08-01,427918
2015-09-01,416523
2015-10-01,422395
2015-11-01,420042
2015-12-01,355107
2016-01-01,373947
2016-02-01,391716
2016-03-01,390073
2016-04-01,388801
2016-05-01,409190
2016-06-01,263108
2016-07-01,404220
2016-08-01,424344
2016-09-01,424451
2016-10-01,422982
2016-11-01,409257
2016-12-01,446320
2017-01-01,404560
2017-02-01,395913
2017-03-01,438403
2017-04-01,402992
2017-05-01,443882
2017-06-01,409670
2017-07-01,307972
2017-08-01,441147
2017-09-01,443323
2017-10-01,443270
2017-11-01,432012
2017-12-01,442552
2018-01-01,414478
2018-02-01,416493
2018-03-01,433843
2018-04-01,436965
2018-05-01,413945
2018-06-01,380210
2018-07-01,335819
2018-08-01,426037
2018-09-01,415097
2018-10-01,428801
2018-11-01,403901
2018-12-01,427233
2019-01-01,394977
2019-02-01,391772
2019-03-01,435791
2019-04-01,317949
2019-05-01,424629
2019-06-01,407461
2019-07-01,433409
2019-08-01,450332
2019-09-01,432671
