periodo,valor
2011-01-01,529086
2011-02-01,487609
2011-03-01,455580
2011-04-01,293890
2011-05-01,525054
2011-06-01,531382
2011-07-01,544120
2011-08-01,552040
2011-09-01,439345
2011-10-01,564963
2011-11-01,530352
2011-12-01,617214
2012-01-01,565919
2012-02-01,516502
2012-03-01,545087
2012-04-01,301056
2012-05-01,520852
2012-06-01,534817
2012-07-01,545578
2012-08-01,555756
2012-09-01,541430
2012-10-01,568586
2012-11-01,531304
2012-12-01,603826
2013-01-01,559307
2013-02-01,498808
2013-03-01,535199
2013-04-01,347071
2013-05-01,549039
2013-06-01,561938
2013-07-01,588815
2013-08-01,577013
2013-09-01,563977
2013-10-01,589008
2013-11-01,573924
2013-12-01,655997
2014-01-01,587108
2014-02-01,538230
2014-03-01,595987
2014-04-01,564910
2014-05-01,587954
2014-06-01,477690
2014-07-01,611185
2014-08-01,605479
2014-09-01,584510
2014-10-01,604380
2014-11-01,457103
2014-12-01,654265
2015-01-01,612375
2015-02-01,560164
2015-03-01,611305
2015-04-01,580095
2015-05-01,607246
2015-06-01,607976
2015-07-01,161556
2015-08-01,627058
2015-09-01,620170
2015-10-01,634265
2015-11-01,618303
2015-12-01,683135
2016-01-01,622499
2016-02-01,589059
2016-03-01,612385
2016-04-01,576172
2016-05-01,553311
2016-06-01,519581
2016-07-01,642948
2016-08-01,649181
2016-09-01,629031
2016-10-01,637260
2016-11-01,613028
2016-12-01,698888
2017-01-01,650615
2017-02-01,596335
2017-03-01,644832
2017-04-01,603523
2017-05-01,634131
2017-06-01,394217
2017-07-01,630026
2017-08-01,648320
2017-09-01,634354
2017-10-01,642659
2017-11-01,636745
2017-12-01,709528
2018-01-01,651480
2018-02-01,603168
2018-03-01,642933
2018-04-01,627610
2018-05-01,626916
2018-06-01,637178
2018-07-01,491158
2018-08-01,680371
2018-09-01,656946
2018-10-01,667959
2018-11-01,642780
2018-12-01,713998
2019-01-01,661502
2019-02-01,612649
2019-03-01,678132
2019-04-01,637730
2019-05-01,680494
2019-06-01,376251
2019-07-01,681326
2019-08-01,692899
2019-09-01,668885
