periodo,valor
2011-01-01,109644
2011-02-01,64910
2011-03-01,57662
2011-04-01,58525
2011-05-01,62068
2011-06-01,114284
2011-07-01,105380
2011-08-01,82733
2011-09-01,51160
2011-10-01,71958
2011-11-01,66532
2011-12-01,98438
2012-01-01,132501
2012-02-01,63052
2012-03-01,64395
2012-04-01,57841
2012-05-01,57399
2012-06-01,100702
2012-07-01,89983
2012-08-01,83643
2012-09-01,61751
2012-10-01,63329
2012-11-01,65179
2012-12-01,97437
2013-01-01,111860
2013-02-01,42954
2013-03-01,82736
2013-04-01,31956
2013-05-01,54575
2013-06-01,98370
2013-07-01,86406
2013-08-01,79313
2013-09-01,51831
2013-10-01,64556
2013-11-01,62073
2013-12-01,84273
2014-01-01,95939
2014-02-01,50337
2014-03-01,56803
2014-04-01,74616
2014-05-01,48108
2014-06-01,70783
2014-07-01,69405
2014-08-01,88000
2014-09-01,46398
2014-10-01,55807
2014-11-01,50904
2014-12-01,94022
2015-01-01,118857
2015-02-01,50941
2015-03-01,65005
2015-04-01,63286
2015-05-01,71681
2015-06-01,92863
2015-07-01,8832
2015-08-01,98380
2015-09-01,56535
2015-10-01,68698
2015-11-01,73400
2015-12-01,120637
2016-01-01,134233
2016-02-01,63534
2016-03-01,93681
2016-04-01,57117
2016-05-01,60007
2016-06-01,88120
2016-07-01,110596
2016-08-01,90077
2016-09-01,59968
2016-10-01,77622
2016-11-01,68126
2016-12-01,114172
2017-01-01,136987
2017-02-01,69299
2017-03-01,64399
2017-04-01,88273
2017-05-01,64428
2017-06-01,59560
2017-07-01,103621
2017-08-01,92092
2017-09-01,59358
2017-10-01,72443
2017-11-01,74700
2017-12-01,117470
2018-01-01,130621
2018-02-01,67335
2018-03-01,102878
2018-04-01,62698
2018-05-01,60911
2018-06-01,101388
2018-07-01,82376
2018-08-01,100586
2018-09-01,67901
2018-10-01,69740
2018-11-01,69625
2018-12-01,115419
2019-01-01,127279
2019-02-01,68224
2019-03-01,78614
2019-04-01,77241
2019-05-01,61040
2019-06-01,75495
2019-07-01,97641
2019-08-01,105345
2019-09-01,69477
