periodo,valor
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,146265
2012-01-01,583708
2012-02-01,693971
2012-03-01,769733
2012-04-01,730833
2012-05-01,835772
2012-06-01,782014
2012-07-01,825996
2012-08-01,952793
2012-09-01,978363
2012-10-01,1070447
2012-11-01,1021419
2012-12-01,966684
2013-01-01,922144
2013-02-01,1038173
2013-03-01,1042564
2013-04-01,1214188
2013-05-01,1324964
2013-06-01,1217463
2013-07-01,1351201
2013-08-01,1427775
2013-09-01,1401196
2013-10-01,1453615
2013-11-01,1373085
2013-12-01,1406731
2014-01-01,1522406
2014-02-01,1697048
2014-03-01,1841105
2014-04-01,1689960
2014-05-01,1843662
2014-06-01,1600370
2014-07-01,1806315
2014-08-01,1859471
2014-09-01,1852990
2014-10-01,1878149
2014-11-01,1782297
2014-12-01,1752707
2015-01-01,1594309
2015-02-01,1789746
2015-03-01,1878140
2015-04-01,1816887
2015-05-01,1879227
2015-06-01,1728481
2015-07-01,1909444
2015-08-01,1952879
2015-09-01,1978038
2015-10-01,1965176
2015-11-01,1876598
2015-12-01,1822264
2016-01-01,1611116
2016-02-01,1921758
2016-03-01,1865614
2016-04-01,2057234
2016-05-01,1933563
2016-06-01,1822202
2016-07-01,1825935
2016-08-01,2102085
2016-09-01,2049751
2016-10-01,2059090
2016-11-01,1996823
2016-12-01,1929735
2017-01-01,1790749
2017-02-01,1986739
2017-03-01,2206436
2017-04-01,1890173
2017-05-01,2076335
2017-06-01,1864499
2017-07-01,1920054
2017-08-01,2169768
2017-09-01,2113366
2017-10-01,2119555
2017-11-01,2046099
2017-12-01,1938156
2018-01-01,1831822
2018-02-01,2054638
2018-03-01,2081501
2018-04-01,2138519
2018-05-01,2185949
2018-06-01,1937280
2018-07-01,2001024
2018-08-01,2215879
2018-09-01,2153143
2018-10-01,2243401
2018-11-01,2074972
2018-12-01,1987039
2019-01-01,1869841
2019-02-01,2028906
2019-03-01,2213755
2019-04-01,1995039
2019-05-01,2174077
2019-06-01,1915896
2019-07-01,2105136
2019-08-01,2216597
2019-09-01,2159721
