periodo,valor
2016-01-01,0
2016-02-01,0
2016-03-01,8829
2016-04-01,260741
2016-05-01,318439
2016-06-01,335764
2016-07-01,375954
2016-08-01,480355
2016-09-01,419035
2016-10-01,434404
2016-11-01,413092
2016-12-01,514277
2017-01-01,494617
2017-02-01,512615
2017-03-01,585961
2017-04-01,538026
2017-05-01,586741
2017-06-01,550894
2017-07-01,581525
2017-08-01,662777
2017-09-01,654798
2017-10-01,669999
2017-11-01,674946
2017-12-01,695828
2018-01-01,639973
2018-02-01,676413
2018-03-01,702173
2018-04-01,721761
2018-05-01,740367
2018-06-01,677513
2018-07-01,712798
2018-08-01,812621
2018-09-01,791818
2018-10-01,828743
2018-11-01,773411
2018-12-01,771696
2019-01-01,706097
2019-02-01,774314
2019-03-01,879642
2019-04-01,800858
2019-05-01,866239
2019-06-01,764567
2019-07-01,846734
2019-08-01,930999
2019-09-01,883643
